
 num     #instances         #bytes  class name
 431:           121           1936  org.apache.spark.sql.execution.exchange.ShuffleExchange$$anon$1
 432:            60           1920  java.net.InetAddress$InetAddressHolder
 433:            60           1920  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
 434:            40           1920  scala.reflect.runtime.JavaMirrors$JavaMirror$JavaAnnotationProxy
 435:            39           1872  sun.util.locale.LocaleObjectCache$CacheEntry
 436:           110           1760  java.util.Collections$UnmodifiableSet
 437:            55           1760  org.spark_project.jetty.http.PreEncodedHttpField
 438:            27           1728  org.apache.hadoop.metrics2.lib.Interns$CacheWith2Keys$2
 439:            54           1728  org.spark_project.jetty.http.HttpStatus$Code
 440:           105           1680  com.fasterxml.jackson.databind.introspect.AnnotationMap
 441:            70           1680  org.apache.kafka.common.metrics.JmxReporter$KafkaMbean
 442:            35           1680  org.apache.spark.sql.catalyst.expressions.objects.CreateExternalRow
 443:            52           1664  java.util.concurrent.ConcurrentSkipListMap$HeadIndex
 444:            23           1656  java.util.logging.Logger
 445:            23           1656  org.apache.spark.util.ParentClassLoader
 446:            23           1656  org.codehaus.janino.ByteArrayClassLoader
 447:            68           1632  org.apache.kafka.common.protocol.types.ArrayOf
 448:            68           1632  scala.reflect.runtime.JavaMirrors$JavaMirror$FromJavaClassCompleter$LazyPolyType
